[2025-11-14 07:41:49,084] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-11-14 07:42:25,044] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2025-11-14 07:42:25,289] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[2025-11-14 07:42:25,436] INFO django.server "GET /static/admin/css/login.css HTTP/1.1" 304 0
[2025-11-14 07:42:26,978] WARNING django.request Not Found: /
[2025-11-14 07:42:26,979] WARNING django.server "GET / HTTP/1.1" 404 2806
[2025-11-14 07:43:02,963] WARNING django.request Unauthorized: /api/v1/documents/
[2025-11-14 07:43:02,965] WARNING django.server "GET /api/v1/documents/ HTTP/1.1" 401 5210
[2025-11-14 07:43:03,241] INFO django.server "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
[2025-11-14 07:43:03,412] INFO django.server "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,414] INFO django.server "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,442] INFO django.server "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
[2025-11-14 07:43:03,443] INFO django.server "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,491] INFO django.server "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
[2025-11-14 07:43:03,491] INFO django.server "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
[2025-11-14 07:43:03,540] INFO django.server "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,540] INFO django.server "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,587] INFO django.server "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,587] INFO django.server "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
[2025-11-14 07:43:03,750] INFO django.server "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
[2025-11-14 07:43:14,357] WARNING django.request Unauthorized: /api/v1/documents/
[2025-11-14 07:43:14,359] WARNING django.server "GET /api/v1/documents/ HTTP/1.1" 401 5210
[2025-11-14 07:43:17,687] WARNING django.request Not Found: /
[2025-11-14 07:43:17,689] WARNING django.server "GET / HTTP/1.1" 404 2806
[2025-11-14 07:43:20,612] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2025-11-14 07:43:20,627] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[2025-11-14 07:43:21,020] INFO django.server "GET /admin HTTP/1.1" 301 0
[2025-11-14 07:43:21,027] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2025-11-14 07:43:21,041] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[2025-11-14 07:43:29,803] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2025-11-14 07:43:30,079] INFO django.server "GET /admin/ HTTP/1.1" 200 9439
[2025-11-14 07:43:30,183] INFO django.server "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[2025-11-14 07:43:30,201] INFO django.server "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[2025-11-14 07:43:30,205] INFO django.server "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[2025-11-14 07:43:34,907] INFO django.server "GET /api/v1/documents/ HTTP/1.1" 200 22712
[2025-11-14 07:43:35,135] INFO django.server "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
[2025-11-14 07:43:35,137] INFO django.server "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2025-11-14 07:43:35,137] INFO django.server "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2025-11-14 07:43:35,149] INFO django.server "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2025-11-14 07:43:35,176] INFO django.server "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-11-14 07:43:35,179] INFO django.server "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
[2025-11-14 07:43:35,181] INFO django.server "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2025-11-14 07:43:35,186] INFO django.server "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
